4	3
5	4
9	3
9	5
9	8
13	12
14	4
16	3
16	5
17	10
18	10
19	3
19	5
19	13
20	11
20	14
22	15
22	17
22	18
23	2
23	16
24	11
25	2
26	6
26	25
27	11
27	13
28	23
29	4
29	20
30	4
30	9
30	16
30	19
31	10
31	22
32	2
32	26
34	8
34	11
35	21
35	25
35	32
35	33
36	22
37	22
38	17
38	18
38	25
38	31
38	32
39	15
39	36
39	37
41	2
41	16
41	28
42	4
42	20
43	20
43	24
43	27
43	34
44	10
44	12
44	28
45	13
45	15
45	36
45	37
46	4
46	9
46	16
46	19
47	11
47	43
48	24
48	39
49	1
49	7
49	11
49	40
49	43
50	44
50	48
51	2
51	26
51	35
51	38
52	9
52	34
53	9
53	34
54	8
54	44
54	52
54	53
55	3
55	5
55	17
55	18
55	30
55	31
55	46
56	10
56	12
56	28
56	50
56	54
57	20
57	24
57	27
57	34
57	47
57	49
58	2
58	26
58	35
58	38
59	47
60	25
60	32
60	48
60	51
60	58
61	4
61	20
62	24
62	39
62	50
62	60
63	2
63	16
63	28
64	6
64	11
64	43
64	57
65	24
65	39
65	50
65	60
66	20
66	24
66	27
66	34
66	47
66	49
66	64
67	25
67	32
67	51
67	58
67	59
68	35
69	10
69	12
69	28
69	50
69	54
70	1
70	3
70	5
70	7
70	30
70	40
70	46
71	21
71	33
71	44
71	56
71	68
71	69
72	12
72	19
72	27
72	45
73	11
73	21
73	33
73	43
73	57
73	66
73	68
74	4
74	9
74	16
74	19
74	55
74	70
75	9
75	34
75	54
76	3
76	5
76	30
76	46
76	59
76	74
77	13
77	25
77	32
77	51
77	58
77	72
78	47
78	67
78	76
79	4
79	20
80	15
80	21
80	33
80	36
80	37
80	68
81	44
81	56
81	59
81	69
81	78
82	22
82	39
82	45
82	80
83	49
83	70
84	26
84	64
85	2
85	16
85	28
86	8
86	25
86	32
86	51
86	52
86	53
86	58
86	75
87	2
87	16
87	28
88	22
88	39
88	45
88	80
89	20
89	24
89	27
89	34
89	47
89	49
89	64
89	73
90	49
90	70
91	12
91	19
91	27
91	45
91	77
92	8
92	15
92	36
92	37
92	52
92	53
92	75
92	82
92	88
93	1
93	7
93	25
93	32
93	40
93	51
93	58
93	83
93	90
94	6
94	15
94	36
94	37
94	82
94	84
94	88
95	9
95	34
95	54
95	86
95	92
96	14
96	15
96	29
96	36
96	37
96	42
96	61
96	79
96	82
96	88
97	6
97	44
97	56
97	69
97	84
98	1
98	7
98	40
98	44
98	56
98	69
98	83
98	90
99	26
99	64
99	94
99	97
100	10
100	22
100	38
100	55
101	26
101	64
101	94
101	97
102	14
102	25
102	29
102	32
102	42
102	51
102	58
102	61
102	79
103	3
103	5
103	21
103	30
103	33
103	46
103	68
103	74
104	10
104	12
104	28
104	50
104	54
104	71
104	81
104	97
104	98
105	35
105	71
105	73
105	80
105	103
106	24
106	39
106	50
106	60
107	12
107	19
107	27
107	45
107	77
108	10
108	12
108	28
108	50
108	54
108	71
108	81
108	97
108	98
109	14
109	29
109	42
109	44
109	56
109	61
109	69
109	79
109	104
109	108
110	47
110	67
110	76
110	81
111	47
111	67
111	76
111	81
112	15
112	36
112	37
112	59
112	78
112	82
112	88
112	110
112	111
113	3
113	5
113	6
113	30
113	46
113	74
113	84
113	99
113	101
114	15
114	23
114	36
114	37
114	41
114	63
114	82
114	85
114	87
114	88
115	1
115	7
115	15
115	36
115	37
115	40
115	82
115	83
115	88
115	90
116	10
116	22
116	38
116	55
117	11
117	17
117	18
117	31
117	43
117	57
117	66
117	89
117	100
117	116
118	3
118	5
118	30
118	46
118	48
118	62
118	65
118	74
118	106
119	12
119	19
119	27
119	45
119	77
120	47
120	67
120	76
120	81
120	112
121	2
121	26
121	35
121	38
121	60
121	67
121	77
121	86
121	93
121	102
122	24
122	39
122	50
122	60
122	118
123	26
123	64
123	94
123	97
123	113
124	35
124	71
124	73
124	80
124	103
125	11
125	23
125	41
125	43
125	57
125	63
125	66
125	85
125	87
125	89
